outlet_identifier,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,R_norm,F_norm,M_norm
OUT013,8037.0,932.0,131809.0156,2,5,4,0.08339037189139858,0.0,0.0
OUT017,732.0,926.0,129103.9564,5,2,2,0.0,0.22222222222221433,0.5934613292474111
OUT018,1.0,928.0,131477.7724,5,2,4,1.0,1.0,0.4026845231538587
OUT027,8767.0,935.0,130714.6746,1,5,3,0.2916951859456993,0.3333333333333286,0.4597111274324206
OUT035,1827.0,930.0,133103.907,4,3,5,0.5,0.44444444444444287,0.7523626416786229
OUT045,2558.0,929.0,130942.7782,4,3,3,0.41672370522473196,0.44444444444444287,0.3432300888916018
OUT046,4384.0,930.0,132113.3698,2,3,5,,,
OUT049,3654.0,930.0,130476.8598,3,3,2,,,
,,,,,,,0.9167237052247319,0.6666666666666572,0.676273151973426
,,,,,,,0.2083048140543007,0.44444444444444287,1.0
